Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
19-JUN-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,4679418,6714500,3926422.6825365,No Fresh Positions
19-JUN-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,37756901,9607000,6406881.156095,29462174
19-JUN-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,4672750,2458963.27463875,5090272
19-JUN-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123369777,74533300,46034885.824546,71166402
19-JUN-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,35196587,31531275,21037721.538674,12399036
19-JUN-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,33645895,35297070,21567015.27066679,10396584
19-JUN-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,64724093,36979200,22662801.183242,38825087
19-JUN-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,88142691,36764050,24362909.33774625,59372647
19-JUN-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,482906787,245699050,137928374.025241,320833073
19-JUN-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,5873365,2426875,1374021.79972,4205674
19-JUN-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3260820,6289500,2749172.159778,348606
19-JUN-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,97233107,115902450,82242393.987737,10129057
19-JUN-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,96940911,72855000,30990283.42675,61103582
19-JUN-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29871221,8483650,6037800.379072,22339859
19-JUN-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,5098750,2525159.26454125,12223238
19-JUN-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,453010000,191075207.9798,211514940
19-JUN-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,62818628,22135250,11389532.7547675,48288163
19-JUN-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,17577908,9976875,5684925.81962925,11014086
19-JUN-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,86532345,38161000,27224141.50399,54981586
19-JUN-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,25284050,17796253.078684,22082785
19-JUN-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,331596880,108551875,67119474.3898875,247897561
19-JUN-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12553818,8045625,3472866.62217425,8453260
19-JUN-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65784745,22773000,13569707.018553,48925800
19-JUN-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,558025,328027.10156325,4803866
19-JUN-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,387962395,112751250,78889360.827275,289674914
19-JUN-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,145616308,192805200,126668151.29744,11667341
19-JUN-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,224420625,128645487.844542,136857304
19-JUN-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,144248000,89202431.13388,83479943
19-JUN-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,15489700,6439068.6715315,6658311
19-JUN-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,535778534,217611750,126715509.4764105,382274097
19-JUN-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,13734000,8403490.77805,29698872
19-JUN-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,342859930,90356875,61311378.5468955,264405554
19-JUN-2026,INE257A01026,BHEL,BHEL,192361942,177597000,112792146.08533375,69951698
19-JUN-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108004143,73242500,41574269.155375,61029666
19-JUN-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,15745076,6599125,3087938.398118,11869883
19-JUN-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,868841,692525,281534.799772,543864
19-JUN-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,88521475,47201111.82123725,243518595
19-JUN-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,14553559,5046625,2661513.98436125,11164367
19-JUN-2026,INE118H01025,BSE LIMITED,BSE,61182611,30721875,10097798.88347,48025681
19-JUN-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37147595,13241550,5888152.494979,29402062
19-JUN-2026,INE476A01022,CANARA BANK,CANBK,504315430,503111250,312132034.8355275,166967623
19-JUN-2026,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,26647500,25359300,9454323.83300025,15860801
19-JUN-2026,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,103080397,34321300,23216300.075002,74710077
19-JUN-2026,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,63646863,25605000,17475045.94136875,42989473
19-JUN-2026,INE059A01026,CIPLA LTD,CIPLA,76385219,27760275,16024323.98170475,56541634
