Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
21-DEC-2021,INE042A01014,ESCORTS INDIA LTD,ESCORTS,16545549,14862100,No Fresh Positions
21-DEC-2021,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,68933088,70980700,No Fresh Positions
21-DEC-2021,INE256A01028,ZEE ENTERTAINMENT ENT LTD,ZEEL,184439886,186435000,No Fresh Positions
21-DEC-2021,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40445895,4338400,34085200
21-DEC-2021,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,55200,954697
21-DEC-2021,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,66632623,19991400,43309591
21-DEC-2021,INE012A01025,ACC LIMITED,ACC,17078428,2903750,13320756
21-DEC-2021,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,30248500,22162354
21-DEC-2021,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147684825,108315000,31985583
21-DEC-2021,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,9841875,586400,8763381
21-DEC-2021,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,14981000,8366208
21-DEC-2021,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145543438,20478000,117788266
21-DEC-2021,INE901L01018,ALEMBIC PHARMA LTD,APLLTD,11999202,2746000,8653241
21-DEC-2021,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20181931,4922625,14250209
21-DEC-2021,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,73292012,21542500,48084911
21-DEC-2021,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282181803,89865000,178207712
21-DEC-2021,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90517973,6951450,79040624
21-DEC-2021,INE006I01046,ASTRAL LIMITED,ASTRAL,17788750,705375,16193937
21-DEC-2021,INE100A01010,ATUL LTD,ATUL,3258421,51300,3044199
21-DEC-2021,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,44842241,5267000,37333128
21-DEC-2021,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,23883450,29738945
21-DEC-2021,INE238A01034,AXIS BANK LIMITED,AXISBANK,528591544,116014800,386147166
21-DEC-2021,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26795423,6359500,19096151
21-DEC-2021,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,12433958,1691825,10120435
21-DEC-2021,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,52866159,9204500,41018351
21-DEC-2021,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16124234,2189000,13129022
21-DEC-2021,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193316954,49141800,134509306
21-DEC-2021,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,267146100,86857623
21-DEC-2021,INE176A01028,BATA INDIA LTD,BATAINDIA,12092405,2817650,8670134
21-DEC-2021,INE263A01024,BHARAT ELECTRONICS LTD,BEL,238123793,39668200,186549403
21-DEC-2021,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48584267,6098400,40056653
21-DEC-2021,INE465A01025,BHARAT FORGE LTD,BHARATFORG,51436398,11171250,37693328
21-DEC-2021,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,510760873,142301802,342921027
21-DEC-2021,INE257A01026,BHEL,BHEL,256482590,209517000,34141460
21-DEC-2021,INE376G01013,BIOCON LIMITED.,BIOCON,92779768,39599100,48541679
21-DEC-2021,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,242800,1407998
21-DEC-2021,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,202646440,53443800,139070318
21-DEC-2021,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,2145800,20486126
21-DEC-2021,INE836A01035,BIRLASOFT LIMITED,BSOFT,32830943,10634000,20555395
21-DEC-2021,INE010B01027,CADILA HEALTHCARE LIMITED,CADILAHC,51441633,30653700,18215851
21-DEC-2021,INE476A01014,CANARA BANK,CANBK,134484114,91135800,36624108
21-DEC-2021,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644652,6208800,11503619
21-DEC-2021,INE085A01013,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,32898237,7798500,23454825
21-DEC-2021,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,79487683,12683750,62829548
21-DEC-2021,INE059A01026,CIPLA LTD,CIPLA,102526906,28219100,69181460
21-DEC-2021,INE522F01014,COAL INDIA LTD,COALINDIA,417418754,109250400,287297416
21-DEC-2021,INE591G01017,COFORGE LIMITED,COFORGE,6039467,1112600,4624893
21-DEC-2021,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,5531400,19790462
21-DEC-2021,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,55081874,8485963,43841817
21-DEC-2021,INE169A01031,COROMANDEL INTERNTL. LTD,COROMANDEL,24917933,1881875,21790161
21-DEC-2021,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,118080629,3392400,108784197
21-DEC-2021,INE491A01021,CITY UNION BANK LTD,CUB,147764422,15135400,125240800
21-DEC-2021,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,27165463,3067800,22739389
21-DEC-2021,INE016A01026,DABUR INDIA LTD,DABUR,115392060,16598750,93023707
