Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
13-OCT-2021,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,327494700,No Fresh Positions
13-OCT-2021,INE257A01026,BHEL,BHEL,256482590,260137500,No Fresh Positions
13-OCT-2021,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,68933088,62843200,No Fresh Positions
13-OCT-2021,INE669E01016,VODAFONE IDEA LIMITED,IDEA,1606294231,1543430000,No Fresh Positions
13-OCT-2021,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,178967755,149209000,No Fresh Positions
13-OCT-2021,INE160A01022,PUNJAB NATIONAL BANK,PNB,591377974,495568000,No Fresh Positions
13-OCT-2021,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,289139949,235001500,No Fresh Positions
13-OCT-2021,INE424H01027,SUN TV NETWORK LIMITED,SUNTV,19704232,18384000,No Fresh Positions
13-OCT-2021,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,39945878,6511000,31437584
13-OCT-2021,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,79000,930897
13-OCT-2021,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,66637623,20124000,43181741
13-OCT-2021,INE012A01025,ACC LIMITED,ACC,17078428,4484000,11740506
13-OCT-2021,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,39389000,13021854
13-OCT-2021,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147858225,112038750,28426563
13-OCT-2021,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,9841875,703600,8646181
13-OCT-2021,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,20936000,2411208
13-OCT-2021,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145409793,36513000,101626303
13-OCT-2021,INE901L01018,ALEMBIC PHARMA LTD,APLLTD,11999222,4196500,7202760
13-OCT-2021,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20181931,5010500,14162334
13-OCT-2021,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,72957920,36822500,32487524
13-OCT-2021,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282181803,108477000,159595712
13-OCT-2021,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90562627,7939800,78094695
13-OCT-2021,INE006I01046,ASTRAL LIMITED,ASTRAL,17786268,1087900,15809054
13-OCT-2021,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,44807534,6771000,35796157
13-OCT-2021,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,25914200,27708195
13-OCT-2021,INE238A01034,AXIS BANK LIMITED,AXISBANK,527568322,60296400,440893505
13-OCT-2021,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26795423,6269750,19185901
13-OCT-2021,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,12426382,1700925,10104137
13-OCT-2021,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,52829771,8220750,41967532
13-OCT-2021,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16124234,3218000,12100022
13-OCT-2021,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193310657,34779600,148865524
13-OCT-2021,INE176A01028,BATA INDIA LTD,BATAINDIA,12092405,4242150,7245634
13-OCT-2021,INE263A01024,BHARAT ELECTRONICS LTD,BEL,238123793,47971200,178246403
13-OCT-2021,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48595067,7859500,38305813
13-OCT-2021,INE465A01025,BHARAT FORGE LTD,BHARATFORG,51436398,18312000,30552578
13-OCT-2021,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,485965844,127140918,334526633
13-OCT-2021,INE376G01013,BIOCON LIMITED.,BIOCON,92336958,34815100,52905010
13-OCT-2021,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,279850,1370948
13-OCT-2021,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,202636795,62406000,130098955
13-OCT-2021,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,2685600,19946326
13-OCT-2021,INE010B01027,CADILA HEALTHCARE LIMITED,CADILAHC,51441633,35050400,13819151
13-OCT-2021,INE476A01014,CANARA BANK,CANBK,134484114,107886600,19873308
13-OCT-2021,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644652,9152325,8560094
13-OCT-2021,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,79393472,14057500,61366298
